,price,location,"rooms[bed,bath]",SQm,type_p,description,link
81,"$5,071,189,410CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']","73,659 SqM ",Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546320
82,"$82,617,000CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']","39,999 SqM ",Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546838
83,"$991,407,960CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']","30,000 SqM ",Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546812
84,"$170,000,000CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']",373 SqM ,Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546522
85,"$114,000,000CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']",510 SqM ,Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546832
86,"$114,000,000CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']",510 SqM ,Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546460
87,"$660,938,640CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']","1,500 SqM ",Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546350
88,"$234,082,435CLP($1,840,000CLP/SqM)"," La Serena, Elqui, Coquimbo, Chile","['3', '2']",127 SqM ,House,3 Bedroom House for sale at La Serena,https://www.fazwaz.cl/en/property-sales/3-bedroom-house-for-sale-at-la-serena-in-la-serena-coquimbo-u545684
89,"$550,000,000CLP($1,370,000CLP/SqM)"," La Serena, Elqui, Coquimbo, Chile","['5', '4']",400 SqM ,House,5 Bedroom House for sale at La Serena,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-la-serena-in-la-serena-coquimbo-u543886
90,"$738,048,148CLP($2,830,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['4', '4']",260 SqM ,Apartment,4 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u552048
91,"$826,173,300CLP($3,150,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['4', '5']",262 SqM ,Apartment,4 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u551956
92,"$399,317,095CLP($2,850,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '3']",140 SqM ,Apartment,3 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u549772
93,"$407,578,828CLP($2,900,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['4', '3']",140 SqM ,Apartment,4 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u547964
94,"$192,498,378CLP($2,910,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['2', '2']",66 SqM ,Apartment,2 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u548390
95,"$426,856,205CLP($2,940,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '3']",145 SqM ,Apartment,3 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u550398
96,"$367,922,509CLP($2,940,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '3']",125 SqM ,Apartment,3 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u549830
97,"$225,000,000CLP($2,950,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",76 SqM ,Apartment,3 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u549582
98,"$369,024,074CLP($2,970,000CLP/SqM)"," Santiago, Santiago, Santiago, Chile","['3', '2']",124 SqM ,Apartment,3 Bedroom Apartment for sale at Vitacura,https://www.fazwaz.cl/en/property-sales/3-bedroom-apartment-for-sale-at-vitacura-in-santiago-santiago-u548734
